73,73,"dbus-glib","D-Bus GLib Bindings","0.82","2009-10-06","2009-11-01"
74,74,"polkit","Unprivileged processes Toolkit","0.95","2009-11-13","2009-12-27"
75,75,"ConfigReader-Simple","ConfigReader-Simple","1.28","2009-11-07","2009-12-17"
76,76,"mcron","Mellors cron","1.04","2009-11-09","2009-12-17"
77,77,"eggdbus","D-Bus GObject Bindings","0.6","2009-11-13","2009-12-27"
78,78,"docbook-xsl-1.75.2","DocBook XSL Stylesheets","1.75.2","2009-11-09","2009-11-09"
79,79,"Linux-PAM","Linux-PAM","1.1.1","2009-12-16","2009-12-27",
80,80,"gobject-introspection","gobject-introspection-0.6.7","0.6.7","2009-12-16","2009-12-27"
81,81,"libffi","a portable foreign function interface library","3.0.8","2009-11-11","2009-11-11"
82,82,"subversion","Subversion","1.6.6","2009-11-12","2009-11-12"
83,83,"openssl","openssl","0.9.8l","2009-11-05","2009-11-18"
84,84,"alsa-utils","Utilities aplay,arecord,amixer etc","1.0.22","2009-09-16","2009-12-16"
85,85,"youtube-dl","command-line program for downloading videos from YouTube.com","2009.09.13","2009-09-13","2009-09-20"
86,86,"dejavu-fonts","a font family based on the Vera Fonts","2.30","2009-08-27","2009-11-20"
87,87,"perltidy","a Perl script which indents and reformats Perl scripts to make them easier to read.","20090616","2009-06-17","2009-11-22"
88,88,"boost","Boost C++ Libraries","1.41.0","2009-11-23","2009-11-23"
89,89,"guile","guile","1.8.7","2009-11-24","2009-11-24"
90,90,"ed","GNU ed","1.4","2009-11-24","2009-11-24"
91,91,"which","GNU which","2.20","2009-11-24","2009-11-24"
92,92,"tcl","Tool Command Language","8.5.8","2009-11-16","2009-11-25"
93,93,"expect","expect","5.43","2009-11-25","2009-11-25"
94,94,"rxvt-unicode","rxvt-unicode","9.06","2009-11-25","2009-11-25"
95,95,"ntp","Network Time Protocol","4.2.4p7","2009-05-18","2009-11-25"
96,96,"lynx","Lynx is a text based web browser.","2.8.7rel.1","2009-07-05","2009-11-26"
97,97,"Test-Output","CPAN module: Utilities to test STDOUT and STDERR messages.","0.16","2009-11-26","2009-11-26"
98,98,"Sub-Exporter","CPAN module: a sophisticated exporter for custom-built routines","0.982","2009-01-16","2009-11-26"
99,99,"Data-OptList","CPAN module: parse and validate simple name/value option pairs","0.104","2009-01-19","2009-11-26"
100,100,"Params-Util","CPAN module: Simple, compact and correct param-checking functions","1.00","2009-05-30","2009-11-26"
101,101,"Sub-Install","CPAN module: install subroutines into packages easily","0.925","2009-01-19","2009-11-26"
102,102,"automoc4","A KDE development tool needed to build KDE","0.9.88","2009-11-29","2009-11-29"
103,103,"curl","curl","7.19.7","2009-11-04","2009-12-05"
104,104,"icu4c","International Components for Unicode","4.2.1","2009-12-06","2009-12-06"
105,105,"PDF-API2","CPAN module: Create and manipulate PDF files","0.73","2009-03-20","2009-12-08"
106,106,"kdebase-runtime","kdebase-runtime","4.3.4","2009-12-12","2009-12-12"
107,107,"clucene","C++ search engine (port of Lucene search engine written in Java)","0.9.21","2008-10-23","2009-12-13"
108,108,"kdepimlibs","kdepimlibs","4.3.4","2009-12-12","2009-12-12"
109,109,"openssh","encrypted communication sessions","5.3","2009-10-01","2009-12-16"
110,110,"git","free revision control","1.6.6","2009-12-23","2010-01-10"
111,111,"samba","Windows networking to Linux clients","3.4.3","2009-10-29","2009-12-18"
112,112,"Template::Toolkit","CPAN: Template Processing System","2.22","2009-07-21","2009-12-22"
113,113,"tdw-collection","troydwill@gmail.com Software utilities","091222","2009-12-23","2009-12-23"
114,114,"XML-SimpleObject","CPAN: XML::SimpleObject - simple object representation of a parsed XML::Parser tree","0.53","2003-03-06","2009-12-28"
115,115,"XML-LibXML","CPAN: libxml2 interfaces for parsing and manipulating XML files","1.70","2009-10-07","2009-12-28"
116,116,"XML::NamespaceSuport","CPAN: a simple generic namespace support class","1.10","2009-07-02","2009-12-28"
117,117,"XML::SAX","XML::SAX","0.96","2008-08-04","2009-12-28"
118,118,"xproto","xproto","1.0","2009-12-28","2009-12-28"
119,119,"xlibrary","xlibrary","1.0","2009-12-28","2009-12-28"
120,120,"TermReadKey","CPAN: Term::ReadKey - A perl module for simple terminal control","2.14","2010-01-03","2010-01-03"
121,121,"Atchange","Perl script that watches a set of files","1.0","2010-01-24","2010-01-24"
